"","person_id","p_violence_raw","p_recid_raw","p_fail_to_appear_raw","p_current_age","cq_fail_appear_two_yr","cq_fail_appear_two_plus","p_yrs5_felcount_person","p_felony_count_person","cq_prior_conviction_F","p_misdem_count_5yrs","p_misdem_count_person","cq_prior_conviction_M","p_drug_count_5yrs","p_drug_count_person","p_yrs5_trafcount_person","p_traffic_count_person","prior_conviction_T","p_current_violent_offense","p_prison_visits","p_prison_time","p_jail_visits","p_jail_time","cq_violent_conviction","p_marital_status","p_sex","p_race","p_numcases","corrected_age"
"1",1,-4.31,-2.78,13,66,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,NA,2,7.94144675925926,0,1,1,6,3,-4.41819146254222
"2",4,-2.26,-0.66,26,22,2,0,3,3,0,5,5,1,2,2,6,6,3,1,0,NA,5,138.995162037037,1,1,1,2,8,-2.49745946014858
"3",5,-1.59,0.16,19,20,0,0,0,0,0,0,1,NA,0,0,1,1,1,0,0,NA,0,NA,0,1,1,2,2,-2.23173999352309
"4",8,-2.89,-0.16,30,40,0,0,4,15,10,3,6,2,1,1,1,4,3,1,2,1065,2,24.1631481481481,7,1,1,1,16,-3.74349497872172
"5",9,-2.44,-0.72,20,41,6,0,0,1,1,2,3,2,0,0,9,9,NA,1,0,NA,3,16.9941087962963,3,2,1,6,13,-3.78391606866848
"6",11,-0.83,0.82,17,18,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1974,2,46.2309837962963,0,1,1,1,1,-1.92149873255189
"7",14,-2.12,-0.69,15,25,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,NA,1,1.08045138888889,0,1,1,1,2,-2.82592263873672
"8",15,-2.06,-0.3,23,21,0,0,0,0,0,5,5,1,0,0,1,1,0,0,0,NA,1,4.17355324074074,0,1,1,2,3,-2.36976803238571
"9",16,-3.14,-1.67,13,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,1,0.905740740740741,0,2,2,1,1,-3.46837733367982
"10",17,-1.92,-0.98,11,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,1,0.269548611111111,0,1,1,1,1,-2.23173999352309
"11",21,-3.43,-2,12,35,NA,NA,0,0,0,0,0,0,0,0,0,2,1,0,0,NA,1,0.24181712962963,0,7,1,3,2,-3.51946813438919
"12",22,-0.84,0.89,18,24,0,0,0,1,1,2,4,2,1,1,0,0,0,1,0,NA,2,62.7105671296296,3,1,1,2,4,-2.72482618216106
"13",23,-2.22,-0.4,18,29,0,0,0,3,2,0,8,6,0,8,0,10,NA,0,0,NA,1,1.05326388888889,0,1,1,1,10,-3.16156316138986
"14",24,-2.7,-0.87,12,30,2,0,0,0,0,3,5,4,0,1,4,7,4,1,0,NA,3,66.1286226851852,1,1,1,1,9,-3.23123437142032
"15",26,-0.63,0.5,25,18,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,NA,6,38.2142361111111,1,1,1,2,1,-1.92149873255189
"16",27,-2.55,-1.14,15,26,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,NA,1,0.289733796296296,0,1,1,1,4,-2.91952480886474
"17",29,-1.56,-1,21,23,NA,NA,0,0,0,3,3,2,0,0,1,1,0,0,1,1504,6,230.966134259259,0,1,1,2,2,-2.61557027051489
"18",30,-1.8,-0.71,12,21,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,NA,1,0.9953125,0,1,1,3,1,-2.36976803238571
"19",32,-2.92,-1.68,17,40,0,0,0,1,1,0,1,1,0,0,8,9,8,1,0,NA,1,1.22833333333333,1,3,1,1,7,-3.74349497872172
"20",34,-1.89,0.39,29,51,0,0,0,0,0,0,0,0,0,0,2,2,2,0,7,4586,1,110.934363425926,0,3,2,2,2,-4.1496730151443
"21",35,-2.21,-0.25,18,43,0,0,0,8,5,0,8,7,0,2,4,9,6,1,1,538,1,0.189884259259259,4,4,1,2,12,-3.8620017653581
"22",35,-2.21,-0.25,18,43,0,0,0,8,5,0,8,7,0,2,4,9,6,1,1,538,1,0.189884259259259,4,4,1,2,12,-3.8620017653581
"23",37,-2.55,-0.93,12,24,2,0,3,3,NA,9,9,NA,1,1,25,25,NA,1,0,NA,6,95.3658101851852,2,1,1,2,19,-2.72482618216106
"24",39,-1.27,0.07,15,24,0,0,1,3,2,5,7,5,5,5,3,4,NA,1,0,NA,3,35.8297916666667,1,1,1,2,6,-2.72482618216106
"25",41,-0.43,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"26",41,-0.43,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"27",41,-0.43,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"28",41,-0.43,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"29",41,-0.21,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"30",41,-0.21,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"31",41,-0.21,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"32",41,-0.21,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"33",41,-0.43,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"34",41,-0.43,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"35",41,-0.43,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"36",41,-0.43,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"37",41,-0.21,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"38",41,-0.21,0.55,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"39",41,-0.21,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"40",41,-0.21,0.56,28,27,0,0,3,4,3,7,8,NA,NA,NA,1,1,1,1,0,NA,2,45.2381134259259,7,1,1,1,10,-3.0062675861412
"41",42,-2.3,0.25,20,31,0,0,4,4,4,1,2,2,4,4,9,9,4,0,0,NA,2,2.76184027777778,0,1,1,2,9,-3.29628301271575
"42",44,-2.54,-0.88,12,26,0,1,0,0,0,2,2,2,0,0,11,11,11,0,0,NA,1,0.0339351851851852,0,1,1,3,9,-2.91952480886474
"43",47,-1.1,0.7,40,30,0,0,1,4,4,9,13,11,0,0,0,1,NA,1,1,221,1,92.197662037037,11,1,1,2,16,-3.23123437142032
